ID;RID;Name;Kontakt;Adresse;Ort;Land;Telefon;Mail;Webseite
1;;Help Tech GmbH;;Brunnenstraße 10;72160 Horb;Germany;+49 7451 5546-0;info@helptech.de;www.helptech.de
2;;Help Tech GmbH, Köln;;Mauritiuskirchplatz 1;50676 Köln;Germany;+49 221 921556-0;koeln@helptech.de;www.helptech.de
3;52;Help Tech GmbH, Lüneburg;;Hügelstraße 1;21337 Lüneburg;Germany;+49 4131 699698-0;lueneburg@helptech.de;www.helptech.de
4;;Help Tech GmbH, Marburg;;Elisabethstraße 13;35037 Marburg;Germany;+49 6421 690012-0;marburg@helptech.de;www.helptech.de
5;;Help Tech GmbH, Stuttgart;;Fritz-Elsas-Straße 36;70174 Stuttgart;Germany;+49 711 2202299-0;stuttgart@helptech.de;www.helptech.de
6;1;Rohrmüller Computer;Josef Rohrmüller;Wittelsbacher Str. 7;94377 Steinach;Germany;+49 9428 902020;info@rohrmueller-computer.de;www.rohrmueller-computer.de
7;1;Humanware Australia;;P.O. Box 944;Baulkham Hills, NSW 2153;Australia;+61 29686 2000;sales@pulsedata.com.au;www.pulsedata.com
8;;Videbis;;Floridsdorfer Hauptstraße 28;A 1210 Wien;Austria;+43 1 2788333;office@videbis.at;www.videbis.at
9;37;INTEGRA b.v.b.a.;;Naamsesteenweg 386;B-3001 HEVERLEE;Belgium;+32 16353130;info@integra-belgium.com;www.integra-belgium.com
10;;Tiflotehna d.o.o.;Andrea Veljaca;Draskoviceva 80;HR 10000 Zagreb;Croatia;+3851 4812501;hrvatski@savez-slijepih.hr;www.savez-slijepih.hr
11;;Näköpiste Polar Print Oy;;Itälahdenkatu 23 A;00210 Helsinki;Finland;+358 9615001-22;isak.sand@polarprint.fi;www.polarprint.fi
12;;Accessolutions;;170, rue Raymond Losserand;F-75014 PARIS;France;+33 1 43 44 02 02;contact@accessolutions.fr;www.accessolutions.fr
13;;IGI Group headquarters;;88 Michalachopoulou Str;11528 Athen;Greece;+30 210 7474035;info@igi-group.com;www.igi-group.com
14;13;Retail selling point;Athanasios Giannaros;29 Mikras Asias Str;11527 Athen;Greece;+30 210 7759159;istos@igi-group.com;
15;;ACS Data Systems AG;;Brennerstraße 72;39042 Brixen/Bressanone;Italy;+39 0472 272727;info@acs.it;www.acs.it
16;15;Integrabilia;Carlo Batiston;Via Umberto I, 4;35010 Vigonza (PD);Italy;+39 49 8952978;info@integrabilia.com;www.integrabilia.com
17;37;INFO SYSTEMS;Rita Sieberger;47, Rue de Strassen;8094 Bertrange;Luxembourg;+352 2631 431;infosys@pt.lu;www.infosystems.lu
18;1;Computer&Braille Systems;;Sed al Baouchrieh, Raymond Fayad Center, 6th floor;Beirut;Lebanon;+961 1 885370;dissa@dm.net.lb;
